satnum,satname,vmag,delta,flux,JD0,JD1,camid,type,version,annulus,launch,sun_alt,sun_az,inc,alt,az,range,ra,dec,height,phase_angle,vmag_norm_550,vmag_norm_1000
51770U,STARLINK-3612,4.784543621118734,0.0408112068410042,80888.53658158139,2459876.845997795,2459876.846071672,LSC,standard,1.5,20705,2022-02-25,-20.836393542725634,117.62589889033137,53.2169,76.18284053576606,218.25873346719737,561.7915637053843,5.018502546509356,-39.690953395076605,549.2064844281037,112.74371990932461,4.738481002518731,6.0366675550475115
51770U,STARLINK-3612,4.795366233634683,0.037222490259797465,85186.55668696,2459876.846071672,2459876.846145549,LSC,standard,1.5,20789,2022-02-25,-20.815816918997154,117.6088299495756,53.2169,80.87746117489057,216.8924950127423,553.1656915273602,5.305317031607043,-36.40686508294745,549.0948374807208,112.01198845757631,4.78290349892319,6.081090051451971
51770U,STARLINK-3612,5.453343351476045,0.0751344016562956,45544.802367298376,2459876.846145549,2459876.846219426,LSC,standard,1.5,11129,2022-02-25,-20.795237225757912,117.59176786552533,53.2169,85.66876156045996,212.48967802974036,548.0550687639674,5.574462060537307,-32.89761784005636,548.9832614680931,111.10459844251793,5.461035805259643,6.759222357788424
51770U,STARLINK-3612,4.768465581788872,0.034175883974163004,85319.19429065638,2459876.846219426,2459876.846293304,LSC,standard,1.5,21041,2022-02-25,-20.77465420665865,117.57471241697691,53.2169,89.14293221188257,87.66946329596149,546.5586995216896,5.825543886194264,-29.226120962899152,548.8717721744953,110.03318436363811,4.782094972677191,6.080281525205971
51770U,STARLINK-3612,4.832335744504299,0.03572995007947047,78537.71489610568,2459876.846293304,2459876.846367181,LSC,standard,1.5,21125,2022-02-25,-20.754067734958706,117.55766349051646,53.2169,84.51261696009004,47.2881350821637,548.7065314770023,6.058778950323544,-25.460961611480176,548.7603860485838,108.81933761615642,4.837448542922056,6.135635095450837
51770U,STARLINK-3612,4.963819290061053,0.033262351478596144,72810.17087307121,2459876.846367181,2459876.846441036,LSC,standard,1.5,21209,2022-02-25,-20.733478462557205,117.54062161727008,53.2169,79.73005721807515,44.20458817942464,554.4562320113216,6.2748175434698155,-21.67113868295973,548.6491237027309,107.49253165080368,4.94629639129382,6.2444829438226
51770U,STARLINK-3612,5.604626060677891,0.0638647513187322,40036.34034740975,2459876.846441036,2459876.846514901,LSC,standard,1.5,13565,2022-02-25,-20.712891974497982,117.52359140703065,53.2169,75.06075173733718,43.083789859576434,563.6943840605618,6.474555173720155,-17.921641491131464,548.5380322819702,106.08712762702515,5.551220967751009,6.84940752027979
51770U,STARLINK-3612,5.994233372519561,0.07198724834735613,27100.562837182886,2459876.846514901,2459876.846588778,LSC,standard,1.5,10079,2022-02-25,-20.6922995780837,117.50656565789728,53.2169,70.55772872430343,42.499977131784185,576.2560023278047,6.659190738892266,-14.265858069282487,548.427081817336,104.63736093995446,5.8929695096572,7.19115606218598
51790U,STARLINK-3631,5.06897882718307,0.0380594807573282,63441.92490704601,2459876.520370734,2459876.5204446,LSC,standard,1.5,20999,2022-02-25,-19.584665804579693,243.54863682044342,53.2143,67.66322251467126,283.20689355825783,587.7015109481159,20.341687160294782,-22.175954204520913,549.5731364728522,91.96532307113844,4.925008238339521,6.223194790868302
51790U,STARLINK-3631,4.890864591141391,0.04037929917523302,71858.98780471657,2459876.5204446,2459876.520518478,LSC,standard,1.5,20999,2022-02-25,-19.60542127514011,243.53193796207552,53.2143,71.0235087767844,274.9548624397463,576.0974139765208,20.504255262505968,-26.030273805712604,549.6886899810022,93.19942511981408,4.79019840990445,6.0883849624332305
51790U,STARLINK-3631,4.788144742952859,0.037619097455696644,82552.4185625738,2459876.520518478,2459876.520592355,LSC,standard,1.5,20915,2022-02-25,-19.62617712827418,243.5152299882368,53.2143,73.95716347076252,263.16949099727424,567.7706945575877,20.68342071225702,-29.972220668208436,549.8043332702366,94.44938810738081,4.7190933269703095,6.017279879499091
